case_id,collision_date,collision_time,latitude,longitude,collision_severity,pcf_violation_category,timestamp,sensor_id,dist_to_sensor,paper_type
8338137,2017-01-10,14:07:00,37.32286,-122.03485,property damage only,automobile right of way,2017-01-10 14:07:00,400823,0.012335616806630877,Minor
8338141,2017-01-10,20:30:00,37.28133,-122.00296,pain,traffic signals and signs,2017-01-10 20:30:00,400222,0.006185368946146357,Minor
8338145,2017-01-13,18:24:00,37.3133,-122.0137,pain,dui,2017-01-13 18:24:00,400560,0.01581085076775871,Minor
8338149,2017-01-17,14:05:00,37.32277,-122.05189,pain,improper turning,2017-01-17 14:05:00,404435,0.003960445429492028,Minor
8338153,2017-01-20,12:10:00,37.29393,-122.03233,pain,automobile right of way,2017-01-20 12:10:00,400828,0.005372053331825924,Minor
8338226,2017-01-12,16:10:00,37.33787,-122.00259,property damage only,automobile right of way,2017-01-12 16:10:00,400084,0.012795112856094531,Minor
8338230,2017-01-13,12:47:00,37.33007,-122.03218,property damage only,speeding,2017-01-13 12:47:00,400823,0.004663132209145533,Minor
8338238,2017-01-16,13:10:00,37.32554,-122.01428,property damage only,unsafe lane change,2017-01-16 13:10:00,400084,0.004333941970078212,Minor
8339207,2017-02-04,00:55:00,37.37385,-122.0563,property damage only,unknown,2017-02-04 00:55:00,407335,0.011086315573709586,Minor
8339282,2017-03-28,18:02:00,37.42694,-121.91136,property damage only,unsafe lane change,2017-03-28 18:02:00,401464,0.005140639065330383,Minor
8339434,2017-02-01,15:58:00,37.35198,-122.032,property damage only,improper turning,2017-02-01 15:58:00,400823,0.017831339882350025,Minor
8339474,2017-02-08,11:31:00,37.34219,-122.04141,property damage only,speeding,2017-02-08 11:31:00,404640,0.011877157277732572,Minor
8339495,2017-02-04,12:03:00,37.40548,-122.01095,pain,improper turning,2017-02-04 12:03:00,404585,0.0010479260470165354,Minor
8339502,2017-02-08,08:51:00,37.38039,-122.01884,property damage only,speeding,2017-02-08 08:51:00,404553,0.01625027805916666,Minor
8340403,2017-03-23,12:34:00,37.405,-121.90277,property damage only,improper passing,2017-03-23 12:34:00,402286,0.007119842694884652,Minor
8340407,2017-03-22,10:03:00,37.40419,-121.90028,property damage only,speeding,2017-03-22 10:03:00,402285,0.00961487014992996,Minor
